sentence,shannon,huffmann
"﻿The Project Gutenberg EBook of Alice in Wonderland, by Lewis Carroll",4.503523465702746,5.375
This eBook is for the use of anyone anywhere at no cost and with,3.818257753575552,4.6842103
"almost no restrictions whatsoever.  You may copy it, give it away or",4.0263602248029695,4.8636365
re-use it under the terms of the Project Gutenberg License included,3.941047452473516,5.0454545
with this eBook or online at www.gutenberg.org,3.911845315026196,4.388889
Title: Alice in Wonderland,3.7091151984942705,4.2
Author: Lewis Carroll,3.880179922675738,4.0625
Illustrator: Gordon Robinson,3.767375797816042,4.375
"Release Date: August 12, 2006 [EBook #19033]",4.453416561671604,4.8461537
Language: English,3.5724694587701364,3.9230769
*** START OF THIS PROJECT GUTENBERG EBOOK ALICE IN WONDERLAND ***,4.099784937478792,4.909091
"Produced by Jason Isbell, Irma Spehar, and the Online",4.258593983224949,5.0
Distributed Proofreading Team at http://www.pgdp.net,4.353533948577481,4.9583335
          [Illustration: Alice in the Room of the Duchess.],3.8740596881769305,4.9130435
"                       _THE ""STORYLAND"" SERIES_",2.711904176173487,4.4666667
                   ALICE'S ADVENTURES IN WONDERLAND,3.0916945456117424,4.75
                     SAM'L GABRIEL SONS & COMPANY,2.888053114550003,4.8235292
                               NEW YORK,1.1828381162981456,3.5
"                           Copyright, 1916,",2.202870851966914,4.357143
                   by SAM'L GABRIEL SONS & COMPANY,3.09287868934203,4.9473686
                               NEW YORK,1.1828381162981456,3.5
ALICE'S ADVENTURES IN WONDERLAND,3.804229296672175,4.3125
[Illustration],3.521640636343319,3.75
I--DOWN THE RABBIT-HOLE,3.7081320646586016,3.9285715
Alice was beginning to get very tired of sitting by her sister on the,3.821956149223952,4.9
"bank, and of having nothing to do. Once or twice she had peeped into the",3.9291611990699016,4.909091
"book her sister was reading, but it had no pictures or conversations in",3.9259785075431037,4.7
"So she was considering in her own mind (as well as she could, for the",3.9445210165295994,4.8095236
"day made her feel very sleepy and stupid), whether the pleasure of",3.9103375235329767,4.8095236
making a daisy-chain would be worth the trouble of getting up and,4.1717127551432585,4.869565
"picking the daisies, when suddenly a White Rabbit with pink eyes ran",4.027613426014843,4.8636365
close by her.,3.3927474104487847,3.6363637
"There was nothing so very remarkable in that, nor did Alice think it so",4.055253101617894,4.9565215
"very much out of the way to hear the Rabbit say to itself, ""Oh dear! Oh,4.031524459280053,5.0416665
dear! I shall be too late!"" But when the Rabbit actually took a watch",3.9624391700119177,5.130435
